ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_PR001,LAACA_PR002,LAACA_PR003,LAACA_PR004,LAACA_PR005,LAACA_PR006,LAACA_PR007,LAACA_PR008,LAACA_PR009,LAACA_PR010,LAACA_PR011,LAACA_PR012,LAACA_PR013,LAACA_PR014,LAACA_PR015,LAACA_PR016,LAACA_PR017,LAACA_PR018,LAACA_PR019,LAACA_PR020,LAACA_PR021,LAACA_PR022,LAACA_PR027,LAACA_PR028,LAACA_PR029,LAACA_PR030,LAACA_PR031,LAACA_PR032,LAACA_PR033,LAACA_PR034,LAACA_PR035,LAACA_PR036,LAACA_PR037,LAACA_PR038,LAACA_PR039,LAACA_PR040,LAACA_PR041,LAACA_PR042,LAACA_PR043,LAACA_PR044
对象号,工步号,顺序号,时间戳,结果_辊压速度,结果_传动侧主辊位置,结果_操作侧主辊位置,结果_传动侧上弯缸压力,结果_操作侧上弯缸压力,结果_上刀速比,结果_下刀速比,结果_上收速比,结果_下收速比,结果_毛刷速比,结果_放卷张力,结果_入牵张力,结果_出牵张力,结果_分切入牵张力,结果_上收卷张力,结果_下收卷张力,结果_上收卷锥度,结果_下收卷锥度,结果_放卷摆辊位置,结果_入牵摆辊位置,结果_出牵摆辊位置,结果_分切入牵摆辊位置,结果_上卷宽度偏移量,结果_下卷宽度偏移量,结果_极片厚度k值,结果_极片厚度b值,结果_激光功率,结果_激光频率,结果_激光离焦量,结果_激光脉宽,结果_激光器横向距离,结果_辊压长度,结果_分切长度,结果_放卷卷径,结果_上收卷长度,结果_上收卷卷径,结果_下收卷长度,结果_下收卷卷径,结果_激光除尘风速1,结果_激光除尘风速2
E3N2BC1432,0,95,2024-03-22 14:55:54,29.97551,519,668.3,14.01584,13.2649,0,0,1.15,1.15,1.5,59.96866,179.2986,101.6134,116.2793,59.83686,59.72684,5,5,50.01384,50.00426,49.98798,49.98396,0,0,1,5.5,32,230,-0.3469625,120,-11.45967,240.4047,221.1507,727.2579,241.094,292.0255,241.094,294.4025,32.30067,32.40322
E3N2BC1432,0,96,2024-03-22 14:56:00,29.97551,518.8,667.9,14.10562,13.20416,0,0,1.15,1.15,1.5,59.96744,179.9472,98.15041,116.263,59.81937,59.79585,5,5,49.98077,50.03758,49.98346,49.9679,0,0,1,5.5,32,230,-0.3469644,120,-11.45967,243.434,224.18,726.3964,244.1233,292.3788,244.1233,294.9839,32.19995,32.61998
E3N2BC1432,0,97,2024-03-22 14:56:06,29.95614,519.1,668.7,14.00556,13.11454,0,0,1.15,1.15,1.5,60.01249,180.2213,100.273,115.4567,59.78938,59.80087,5,5,50.01308,49.97008,50.04587,49.99321,0,0,1,5.5,32,230,-0.3469644,120,-11.45967,246.4576,227.2036,725.6832,247.1469,292.8913,247.1469,295.7579,32.1746,32.57948
E3N2BC1432,0,98,2024-03-22 14:56:12,29.95614,519.4,664.7,14.1695,13.25788,0,0,1.15,1.15,1.5,59.97474,179.4664,100.2428,115.5132,59.58447,59.7005,5,5,50.03538,49.95042,50.02106,50.1068,0,0,1,5.5,32,230,-0.3469663,120,-11.45967,249.487,230.233,725.0419,250.1763,293.9628,250.1763,296.4925,32.20872,32.56455
E3N2BC1432,0,99,2024-03-22 14:56:18,29.991,518.9,665,14.20918,13.31838,0,0,1.15,1.15,1.5,60.00031,179.3436,101.1985,115.5182,59.88184,59.70677,5,5,49.97231,50.03676,49.97894,50.01729,0,0,1,5.5,32,230,-0.3469644,120,-11.45967,252.5085,233.2545,724.9653,253.1978,295.0499,253.1978,297.3332,32.2526,32.44297
E3N2BC1432,0,100,2024-03-22 14:56:24,29.991,519.2,665.1,14.17454,13.24603,0,0,1.15,1.15,1.5,60.02344,180.798,100.283,115.8247,59.82561,59.7281,5,5,50.01308,49.9966,50.00603,50.02469,0,0,1,5.5,32,230,-0.3469663,120,-11.45967,255.5404,236.2863,724.2713,256.2297,295.5934,256.2297,298.115,32.17587,32.63602
E3N2BC1432,0,101,2024-03-22 14:56:30,29.991,519.7,665.6,14.26405,13.13742,0,0,1.15,1.15,1.5,59.97474,179.6866,99.62163,117.1245,59.75314,59.73186,5,5,50.01615,50.03847,49.99474,49.94444,0,0,1,5.5,32,230,-0.3469625,120,-11.45967,258.5477,239.2936,723.7687,259.237,295.8419,259.237,298.7004,32.26287,32.67638
E3N2BC1432,0,102,2024-03-22 14:56:36,29.991,519.2,665,14.22954,13.27306,0,0,1.15,1.15,1.5,60.02222,179.4649,100.1497,117.4586,59.89434,59.77452,5,5,49.95539,50.00597,50.02405,49.98951,0,0,1,5.5,32,230,-0.3469644,120,-11.45967,261.5712,242.3172,723.5533,262.2605,297.1425,262.2605,299.4782,32.2445,32.44102
E3N2BC1432,0,103,2024-03-22 14:56:42,29.991,519,665.2,14.10616,13.22472,0,0,1.15,1.15,1.5,60.06727,179.2522,100.2051,117.23,59.74065,59.72935,5,5,50.00308,50.00941,50.01353,49.96605,0,0,1,5.5,32,230,-0.3469644,120,-11.45967,264.6046,245.3506,723.2183,265.2939,297.422,265.2939,300.2522,32.1743,32.41515
E3N2BC1432,0,104,2024-03-22 14:56:48,29.97551,519.8,665.4,14.11393,13.30785,0,0,1.15,1.15,1.5,59.96988,179.9607,101.2689,117.6432,59.55447,59.70552,5,5,49.99692,49.99831,50.00978,49.96666,0,0,1,5.5,32,230,-0.3469644,120,-11.45967,267.6242,248.3701,722.6774,268.3135,298.2994,268.3135,301.0614,32.17437,32.51003
